relationshipId,createdTimestamp,updatedTimestamp,relationshipType,sourceNodeType,sourceNodeAttr,sourceNodeValue,targetNodeType,targetNodeAttr,targetNodeValue,affiliation,referenceType,sourceAuthoritySection,targetAuthoritySection,relationship,notes
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2985,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2986,,,,,,
,,,OBSOLETES,Authority,reference,RFC2986,Authority,reference,RFC2314,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3211,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3218,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3274,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3278,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3369,,,,,,
,,,OBSOLETES,Authority,reference,RFC3369,Authority,reference,RFC3211,,,,,,
,,,OBSOLETES,Authority,reference,RFC3369,Authority,reference,RFC2630,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3370,,,,,,
,,,OBSOLETES,Authority,reference,RFC3370,Authority,reference,RFC3211,,,,,,
,,,OBSOLETES,Authority,reference,RFC3370,Authority,reference,RFC2630,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC3447,,,,,,
