relationshipId,createdTimestamp,updatedTimestamp,relationshipType,sourceNodeType,sourceNodeAttr,sourceNodeValue,targetNodeType,targetNodeAttr,targetNodeValue,affiliation,referenceType,sourceAuthoritySection,targetAuthoritySection,relationship,notes
,,,DEFINES,Authority,reference,NIST FIPS 46-3,Artifact,shortName,3DES (2 key),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 46-3,Artifact,shortName,3DES (1 key),,,,,,
,,,VARIANT_OF,Artifact,shortName,3DES (3 key),Artifact,shortName,3DES,,,,,,
,,,VARIANT_OF,Artifact,shortName,3DES (2 key),Artifact,shortName,3DES,,,,,,
,,,VARIANT_OF,Artifact,shortName,3DES (1 key),Artifact,shortName,3DES,,,,,,
,,,VARIANT_OF,Artifact,shortName,3DES,Artifact,shortName,DES,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NBS (NIST),Authority,reference,NIST FIPS 81,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 81,Artifact,shortName,ECB mode,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 81,Artifact,shortName,CBC mode,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 81,Artifact,shortName,CFB mode,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 81,Artifact,shortName,OFB mode,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 81 CN2,,,,,,
,,,CORRECTS,Authority,reference,NIST FIPS 81 CN2,Authority,reference,NIST FIPS 81,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 81 CN3,,,,,,
,,,CORRECTS,Authority,reference,NIST FIPS 81 CN3,Authority,reference,NIST FIPS 81,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180,Artifact,shortName,SHA-0,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180-1,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 180-1,Authority,reference,NIST FIPS 180,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-1,Artifact,shortName,SHA-1,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180-2 (2002),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 180-2 (2002),Authority,reference,NIST FIPS 180-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2002),Artifact,shortName,SHA-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2002),Artifact,shortName,SHA-256,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2002),Artifact,shortName,SHA-384,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2002),Artifact,shortName,SHA-512,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-256,Artifact,shortName,SHA-2,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-384,Artifact,shortName,SHA-2,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-512,Artifact,shortName,SHA-2,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180-2 (2004),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 180-2 (2004),Authority,reference,NIST FIPS 180-2 (2002),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2004),Artifact,shortName,SHA-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2004),Artifact,shortName,SHA-224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2004),Artifact,shortName,SHA-256,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2004),Artifact,shortName,SHA-384,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-2 (2004),Artifact,shortName,SHA-512,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-224,Artifact,shortName,SHA-2,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180-3,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 180-3,Authority,reference,NIST FIPS 180-2 (2004),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-3,Artifact,shortName,SHA-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-3,Artifact,shortName,SHA-224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-3,Artifact,shortName,SHA-256,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-3,Artifact,shortName,SHA-384,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-3,Artifact,shortName,SHA-512,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180-4 (2008),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 180-4 (2008),Authority,reference,NIST FIPS 180-3,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-256,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-384,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-512,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-512/224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-512/256,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-512/224,Artifact,shortName,SHA-2,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-512/256,Artifact,shortName,SHA-2,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 180-4 (2015),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 180-4 (2015),Authority,reference,NIST FIPS 180-4 (2008),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-256,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-384,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-512,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-512/224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 180-4 (2008),Artifact,shortName,SHA-512/256,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 186,Artifact,shortName,DSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186 CN1,,,,,,
,,,CORRECTS,Authority,reference,NIST FIPS 186 CN1,Authority,reference,NIST FIPS 186,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186-1,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 186-1,Authority,reference,NIST FIPS 186,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 186-1,Artifact,shortName,DSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186-2 (2000),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 186-2 (2000),Authority,reference,NIST FIPS 186-1,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 186-2 (2000),Artifact,shortName,DSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186-2 (2001),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 186-2 (2001),Authority,reference,NIST FIPS 186-2 (2000),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 186-2 (2001),Artifact,shortName,DSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186-3,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 186-3,Authority,reference,NIST FIPS 186-2 (2001),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 186-3,Artifact,shortName,DSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186-4,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 186-4,Authority,reference,NIST FIPS 186-3,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 186-4,Artifact,shortName,DSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 186-5,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 186-5,Authority,reference,NIST FIPS 186-4,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 197 (2001),,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 197 (2001),Artifact,shortName,AES-128,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 197 (2001),Artifact,shortName,AES-192,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 197 (2001),Artifact,shortName,AES-256,,,,,,
,,,VARIANT_OF,Artifact,shortName,AES-128,Artifact,shortName,AES,,,,,,
,,,VARIANT_OF,Artifact,shortName,AES-192,Artifact,shortName,AES,,,,,,
,,,VARIANT_OF,Artifact,shortName,AES-256,Artifact,shortName,AES,,,,,,
,,,VARIANT_OF,Artifact,shortName,AES,Artifact,shortName,Rijndael,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 197 (2023),,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 197 (2023),Authority,reference,NIST FIPS 197 (2001),,,,,,
,,,HAS_RELATED_AUTHORITY,Authority,reference,NIST FIPS 197 (2023),Authority,reference,NIST FIPS 197 (2001),,,,,technically equivalent,
,,,DEFINES,Authority,reference,NIST FIPS 197 (2023),Artifact,shortName,AES-128,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 197 (2023),Artifact,shortName,AES-192,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 197 (2023),Artifact,shortName,AES-256,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 198,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 198,Artifact,shortName,HMAC,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 198-1,,,,,,
,,,SUPERSEDES,Authority,reference,NIST FIPS 198-1,Authority,reference,NIST FIPS 198,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 198-1,Artifact,shortName,HMAC,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 202,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 202,Artifact,shortName,SHA3-224,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 202,Artifact,shortName,SHA3-256,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 202,Artifact,shortName,SHA3-384,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 202,Artifact,shortName,SHA3-512,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 202,Artifact,shortName,SHAKE-128,,,,,,
,,,DEFINES,Authority,reference,NIST FIPS 202,Artifact,shortName,SHAKE-256,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA3-224,Artifact,shortName,SHA-3,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA3-256,Artifact,shortName,SHA-3,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA3-384,Artifact,shortName,SHA-3,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA3-512,Artifact,shortName,SHA-3,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHAKE-128,Artifact,shortName,SHA-3,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHAKE-256,Artifact,shortName,SHA-3,,,,,,
,,,VARIANT_OF,Artifact,shortName,SHA-3,Artifact,shortName,Keccak,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 203,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 204,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST FIPS 205,,,,,,
,,,CONTROLS,ControllingOrg,shortName,NIST,Authority,reference,NIST TechNote SHA-1 Attacks,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC1186,,,,,,
,,,DEFINES,Authority,reference,RFC1186,Artifact,shortName,MD4,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pem WG,Authority,reference,RFC1319,,,,,,
,,,DEFINES,Authority,reference,RFC1319,Artifact,shortName,MD2,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pem WG,Authority,reference,RFC1320,,,,,,
,,,OBSOLETES,Authority,reference,RFC1320,Authority,reference,RFC1186,,,,,,
,,,DEFINES,Authority,reference,RFC1320,Artifact,shortName,MD4,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pem WG,Authority,reference,RFC1321,,,,,,
,,,DEFINES,Authority,reference,RFC1321,Artifact,shortName,MD5,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC1750,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC1948,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC1984,,,,,,
,,,MEMBER_OF,Authority,reference,RFC1984,AuthorityGroup,reference,BCP200,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2040,,,,,,
,,,CONTROLS,ControllingOrg,shortName,ipsec WG,Authority,reference,RFC2104,,,,,,
,,,DEFINES,Authority,reference,RFC2104,Artifact,shortName,HMAC,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2202,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2268,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC2631,,,,,,
,,,DEFINES,Authority,reference,RFC2631,Artifact,shortName,Diffie-Hellman,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pkix WG,Authority,reference,RFC2875,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC3174,,,,,,
