authorityGroupId,createdTimestamp,updatedTimestamp,atlasStatus,groupType,reference,title,url,notes
,,,relOnly,versionedAuthority,XHTML 1.1,Extensible Hypertext Markup Language 1.1,,
,,,relOnly,versionedAuthority,HTML 5.1,Hypertext Markup Language 5.1,,
,,,relOnly,versionedAuthority,ECMA-262 / ISO/IEC 16262,ECMAScript Language Specification,https://ecma-international.org/publications-and-standards/standards/ecma-262/,
,,,relOnly,versionedAuthority,ECMA-402,ECMAScript Internationalization API Specification,https://ecma-international.org/publications-and-standards/standards/ecma-402/,
,,,relOnly,versionedAuthority,ECMA-404 / ISO/IEC 21778 / JSON RFCs,The JSON Data Interchange Syntax,https://ecma-international.org/publications-and-standards/standards/ecma-404/,
,,,relOnly,versionedAuthority,ECMA-414 / ISO/IEC 22275,ECMAScript Specification Suite,https://ecma-international.org/publications-and-standards/standards/ecma-414/,
,,,relOnly,versionedAuthority,ITU-T Rec. X.509 / ISO/IEC 9594-8,Information Technology — Open Systems Interconnection — The Directory: Public-Key and Attribute Certificate Frameworks,,
,,,relOnly,collectedAuthority,CCITT Rec. X.509 (11/1988) (as amended),The Directory — Authentication Framework [CCITT Rec. X.509 (11/1988)] as amended,,
,,,relOnly,collectedAuthority,ISO/IEC 9594-8:1990 (as amended),Information Technology — Open Systems Interconnection — The Directory — Part 8: Authentication Framework [ISO/IEC 9594-8:1990] as amended,,
,,,relOnly,collectedAuthority,ITU-T Rec. X.509 (11/1993) / ISO/IEC 9594-8:1995 (as amended),Information Technology — Open Systems Interconnection — The Directory: Authentication Framework [ITU-T Rec. X.509 (11/1993) / ISO/IEC 9594-8:1995] as amended,,
,,,relOnly,collectedAuthority,ITU-T Rec. X.509 (08/1997) / ISO/IEC 9594-8:1998 (as amended),Information Technology — Open Systems Interconnection — The Directory: Authentication Framework [ITU-T Rec. X.509 (08/1997) / ISO/IEC 9594-8:1998] as amended,,
,,,relOnly,collectedAuthority,ITU-T Rec. X.509 (03/2000) / ISO/IEC 9594-8:2001 (as amended),Information Technology — Open Systems Interconnection — The Directory: Public-Key and Attribute Certificate Frameworks [ITU-T Rec. X.509 (03/2000) / ISO/IEC 9594-8:2001] as amended,,
,,,relOnly,collectedAuthority,ITU-T Rec. X.509 (08/2005) / ISO/IEC 9594-8:2005 (as amended),Information Technology — Open Systems Interconnection — The Directory: Public-Key and Attribute Certificate Frameworks [ITU-T Rec. X.509 (08/2005) / ISO/IEC 9594-8:2005] as amended,,
,,,relOnly,collectedAuthority,ITU-T Rec. X.509 (11/2008) / ISO/IEC 9594-8:2008 (as amended),Information Technology — Open Systems Interconnection — The Directory: Public-Key and Attribute Certificate Frameworks [ITU-T Rec. X.509 (11/2008) / ISO/IEC 9594-8:2008] as amended,,
,,,relOnly,collectedAuthority,ITU-T Rec. X.509 (10/2012) / ISO/IEC 9594-8:2014 (as amended),Information Technology — Open Systems Interconnection — The Directory: Public-Key and Attribute Certificate Frameworks [ITU-T Rec. X.509 (10/2012) / ISO/IEC 9594-8:2014] as amended,,
