authorityId,createdTimestamp,updatedTimestamp,atlasCategory,atlasStatus,reference,versionTag,title,status,type,ietfStream,publishedDate,deprecatedDate,withdrawnDate,canonicalUrl,canonicalFormat,plainTextUrl,htmlUrl,otherUrl,otherFormat,doi,notes
,,,,stub,RFC2030,,"Simple Network Time Protocol (SNTP) Version 4 for IPv4, IPv6 and OSI",Informational; Obsoleted; Errata,RFC - Informational,Legacy,1996-10,,,https://www.rfc-editor.org/rfc/rfc2030.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc2030.txt,https://www.rfc-editor.org/rfc/rfc2030.html,https://datatracker.ietf.org/doc/rfc2030/,IETF Datatracker,10.17487/RFC2030,
,,,,stub,RFC4330,,"Simple Network Time Protocol (SNTP) Version 4 for IPv4, IPv6 and OSI",Informational; Obsoleted; Errata,RFC - Informational,Legacy,2006-01-31,,,https://www.rfc-editor.org/rfc/rfc4330.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc4330.txt,https://www.rfc-editor.org/rfc/rfc4330.html,https://datatracker.ietf.org/doc/rfc4330/,IETF Datatracker,10.17487/RFC4330,
,,,,stub,RFC5905,,Network Time Protocol Version 4: Protocol and Algorithms Specification,Active; Updated; Errata,Proposed Standard,IETF,2010-06-21,,,https://www.rfc-editor.org/rfc/rfc5905.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc5905.txt,https://www.rfc-editor.org/rfc/rfc5905.html,https://datatracker.ietf.org/doc/rfc5905/,IETF Datatracker,10.17487/RFC5905,
,,,,stub,RFC5906,,Network Time Protocol Version 4: Autokey Specification,Informational; Updated; Errata,RFC - Informational,IETF,2010-06-21,,,https://www.rfc-editor.org/rfc/rfc5906.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc5906.txt,https://www.rfc-editor.org/rfc/rfc5906.html,https://datatracker.ietf.org/doc/rfc5906/,IETF Datatracker,10.17487/RFC5906,
,,,,stub,RFC7821,,UDP Checksum Complement in the Network Time Protocol (NTP),Informational; Updated,RFC - Experimental,IETF,2016-03-30,,,https://www.rfc-editor.org/rfc/rfc7821.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc7821.txt,https://www.rfc-editor.org/rfc/rfc7821.html,https://datatracker.ietf.org/doc/rfc7821/,IETF Datatracker,10.17487/RFC7821,
,,,,stub,RFC7822,,Network Time Protocol Version 4 (NTPv4) Extension Fields,Active; Updated,Proposed Standard,IETF,2016-03-30,,,https://www.rfc-editor.org/rfc/rfc7822.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc7822.txt,https://www.rfc-editor.org/rfc/rfc7822.html,https://datatracker.ietf.org/doc/rfc7822/,IETF Datatracker,10.17487/RFC7822,
,,,,stub,RFC8573,,Message Authentication Code for the Network Time Protocol,Active; Updated,Proposed Standard,IETF,2019-06-23,,,https://www.rfc-editor.org/rfc/rfc8573.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc8573.txt,https://www.rfc-editor.org/rfc/rfc8573.html,https://datatracker.ietf.org/doc/rfc8573/,IETF Datatracker,10.17487/RFC8573,
,,,,stub,RFC9109,,Network Time Protocol Version 4: Port Randomization,Active,Proposed Standard,IETF,2021-08-23,,,https://www.rfc-editor.org/rfc/rfc9109.xml,RFCXML,https://www.rfc-editor.org/rfc/rfc9109.txt,https://www.rfc-editor.org/rfc/rfc9109.html,https://datatracker.ietf.org/doc/rfc9109/,IETF Datatracker,10.17487/RFC9109,
,,,,stub,RFC9748,,Updating the NTP Registries,Active,Proposed Standard,IETF,2025-02-28,,,https://www.rfc-editor.org/rfc/rfc9748.xml,RFCXML,https://www.rfc-editor.org/rfc/rfc9748.txt,https://www.rfc-editor.org/rfc/rfc9748.html,https://datatracker.ietf.org/doc/rfc9748/,IETF Datatracker,10.17487/RFC9748,
,,,,stub,RFC9769,,NTP Interleaved Modes,Active,Proposed Standard,IETF,2025-05-23,,,https://www.rfc-editor.org/rfc/rfc9769.xml,RFCXML,https://www.rfc-editor.org/rfc/rfc9769.txt,https://www.rfc-editor.org/rfc/rfc9769.html,https://datatracker.ietf.org/doc/rfc9769/,IETF Datatracker,10.17487/RFC9769,
,,,,relOnly; relComplete,NIST SP 800-63 v1,,Electronic Authentication Guideline,Withdrawn; Superseded,CSRC Special Publication,,2004-06-30,,2004-09-27,https://csrc.nist.gov/files/pubs/sp/800/63/final/docs/sp800-63-v1-0.pdf,PDF,,,,,,
,,,,relOnly; relComplete,NIST SP 800-63 v1.0.1,,Electronic Authentication Guideline,Withdrawn; Superseded,CSRC Special Publication,,2004-09-27,,2006-04-30,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-63ver1.0.1.pdf,PDF,,,,,10.6028/NIST.SP.800-63v1.0.1,
,,,,relOnly; relComplete,NIST SP 800-63 v1.0.2,,Electronic Authentication Guideline,Withdrawn; Superseded,CSRC Special Publication,,2006-04-30,,2011-12-12,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-63ver1.0.2.pdf,PDF,,,,,10.6028/NIST.SP.800-63v1.0.2,
,,,,relOnly; relComplete,NIST SP 800-63-1,,Electronic Authentication Guideline,Withdrawn; Superseded,CSRC Special Publication,,2011-12-12,,2013-08-29,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-63-1.pdf,PDF,,,,,10.6028/NIST.SP.800-63-1,
,,,,relOnly; relComplete,NIST SP 800-63-2,,Electronic Authentication Guideline,Withdrawn; Superseded,CSRC Special Publication,,2013-08-29,,2017-06-22,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63-2.pdf,PDF,,,,,10.6028/NIST.SP.800-63-2,
,,,,relOnly; relComplete,NIST SP 800-63-3 (06/2017),,Digital Identity Guidelines,Withdrawn; Superseded,CSRC Special Publication,,2017-06-22,,2017-12-01,,,,,,,,
,,,,relOnly; relComplete,NIST SP 800-63A (06/2017),,Digital Identity Guidelines: Enrollment and Identity Proofing,Withdrawn; Superseded,CSRC Special Publication,,2017-06-22,,2017-12-01,,,,,,,,
,,,,relOnly; relComplete,NIST SP 800-63B (06/2017),,Digital Identity Guidelines: Authentication and Lifecycle Management,Withdrawn; Superseded,CSRC Special Publication,,2017-06-22,,2017-12-01,,,,,,,,
