artifactId,createdTimestamp,updatedTimestamp,artifactType,artifactSubtype,artifactTypeGroup,shortName,fullName,status,notes
,,,securityProtocol,authorizationProtocol,,OAuth 1.0,OAuth version 1.0,,
,,,securityProtocol,authorizationProtocol,,OAuth 2.0,OAuth version 2.0,,
,,,protocolRole,principalRole,,OAuth Role - Resource Owner,OAuth Resource Owner role,,
,,,protocolRole,resourceRole,,OAuth Role - Resource Server,OAuth Resource Server role,,
,,,protocolRole,requestingRole,true,OAuth Role - Client,OAuth Client role,,
,,,protocolRole,requestingRole,,OAuth Role - Confidential Client,OAuth Confidential Client role,,Client capable and using client authentication
,,,protocolRole,requestingRole,,OAuth Role - Public Client,OAuth Public Client role,,Client incapable and not using client authentication
,,,protocolRole,authorityRole,,OAuth Role - Authorization Server,OAuth Authorization Server role,,
,,,interactionPattern,userAgentMediatedFlow-AuthZ,,OAuth Flow - Authorization Code,OAuth Authorization Code grant flow,,
,,,interactionPattern,userAgentMediatedFlow-AuthZ,,OAuth Flow - Implicit,OAuth Implicit grant flow,,
,,,interactionPattern,directCredentialFlow-AuthZ,,OAuth Flow - Resource Owner Password Credentials,OAuth Resource Owner Password Credentials grant flow,,
,,,interactionPattern,directCredentialFlow-AuthZ,,OAuth Flow - Client Credentials,OAuth Client Credentials grant flow,,
,,,interactionPattern,boundExchangeFlow,,OAuth Flow - AuthZ Code Exchange,OAuth Authorization Code Exchange flow,,
,,,interactionPattern,credentialRenewalFlow,,OAuth Flow - Refresh Token Redemption,OAuth Refresh Token Redemption flow,,
,,,protocolExtensionPoint,,,OAuth Feature - Extension Grant,OAuth Extension Grant feature,,
,,,issuedCredential,authorizationCredential,true,OAuth Issued Token - Access Token,OAuth Access Token,,
,,,issuedCredential,authorizationCredential,,OAuth Issued Token - Access Token - Bearer Type,OAuth Issued Token - Access Token - Bearer Type,,
,,,issuedCredential,lifecycleCredential,,OAuth Issued Token - Refresh Token,OAuth Refresh Token,,
,,,protocolEndpoint,,,OAuth Authorization Endpoint,OAuth Authorization Endpoint,,
,,,protocolEndpoint,,,OAuth Token Endpoint,OAuth Token Endpoint,,
,,,protocolEndpoint,,,OAuth Client Redirection Endpoint,OAuth Client Redirection Endpoint,,
,,,protocolIdentifier,participantIdentifier,,OAuth Client Identifier,OAuth Client Identifier,,
,,,protocolIdentifier,resourceScopeIdentifier,,OAuth Scope,OAuth Access Token Scope,,Individual scope element
,,,protocolCredentialType,participantCredential,,OAuth Client Credential types,OAuth Client Credential types,,
,,,authenticationMethod,sharedSecret,,OAuth Token Auth Method - Client Secret,OAuth Token Auth Method - Client Secret,,
,,,authenticationMethod,sharedSecret,,OAuth Token Auth Method - client_secret_post,OAuth Token Auth Method - Client Secret (Form POST),,
,,,authenticationMethod,sharedSecret,,OAuth Token Auth Method - client_secret_basic,OAuth Token Auth Method - Client Secret (Basic Auth),,
,,,authenticationMethod,sharedSecret,,OAuth Token Auth Method - client_secret_jwt,OAuth Token Auth Method - Client Secret (MAC-protected JWT),,
,,,authenticationMethod,keyPairCredential,,OAuth Token Auth Method - private_key_jwt,OAuth Token Auth Method - Private Key Signed JWT,,
,,,authenticationMethod,x509Certificate,,OAuth Token Auth Method - tls_client_auth,OAuth Token Auth Method - mTLS (PKI-Signed Certificate),,
,,,authenticationMethod,x509Certificate,,OAuth Token Auth Method - self_signed_tls_client_auth,OAuth Token Auth Method - mTLS (Self-Signed Certificate),,
,,,securityProtocol,authenticationProtocol,true,OpenID,OpenID (family),,
,,,securityProtocol,authenticationProtocol,,OpenID 1.0,OpenID version 1.0,,
,,,securityProtocol,authenticationProtocol,,OpenID 1.1,OpenID version 1.1,,
,,,securityProtocol,authenticationProtocol,,OpenID 2.0,OpenID version 2.0,,
,,,securityProtocol,federatedIdentityProtocol,,OpenID Connect 1.0,OpenID Connect version 1.0,,
,,,programmingLanguage,scriptingLanguage,true,ECMAScript,ECMAScript,,
,,,programmingLanguage,scriptingLanguage,,ECMAScript 1,ECMAScript 1.0,,
,,,programmingLanguage,scriptingLanguage,,ECMAScript 2,ECMAScript 2.0,,
,,,programmingLanguage,scriptingLanguage,,ECMAScript 3,ECMAScript 3.0,,
,,,programmingLanguage,scriptingLanguage,,ECMAScript 5,ECMAScript 5.0,,
,,,programmingLanguage,scriptingLanguage,,ECMAScript 5.1,ECMAScript 5.1,,
,,,programmingLanguage,scriptingLanguage,,ECMAScript (yearly),ECMAScript (yearly release),,
